feature,importance
solar_ratio,387
hours_since_last_outage,315
load_ratio_6h_24h,278
solar_pv_kw,266
peak_ratio,235
load_cv_24h,233
sterilization_kw,229
base_load_ratio,202
load_zscore_24h,197
load_diff_24h,195
outage_trend_7d,183
load_pct_change_1h,176
load_diff_24h_rel,174
outage_frequency_7d,170
load_std_24h,161
avg_outage_duration_7d,160
load_rolling_6h,151
base_load_kw,145
pressure_change_3h,136
sterilization_ratio,127
load_rolling_24h,124
load_diff_1h,120
load_diff_1h_rel,116
thermal_amplitude_24h,113
surface_pressure,113
wind_speed_10m,107
temperature_2m,105
total_load_kw,102
last_outage_duration_h,98
humidity_change_3h,86
wind_gusts_10m,83
hour_cos,80
shortwave_radiation,75
cloud_cover_pct,73
hour,60
hour_sin,53
dew_point_2m,49
temp_humidity_interaction,48
relative_humidity_2m,47
day_of_week,42
evapotranspiration,42
wind_precipitation_interaction,38
month_cos,30
month,20
precipitation,17
month_sin,17
rain_intensity,9
is_public_holiday,7
weathercode,5
is_weekend,1
heat_stress,0
visibility_m,0
solar_available,0
cape,0
