site,n_test,outage_rate,accuracy,precision,recall,f1,roc_auc,brier
Lacor/Uganda (hôpital),8760,0.0975,0.6336,0.1426,0.5504,0.2265,0.6247,0.2253
Maricopa/Phoenix AZ,8753,0.1,0.7563,0.1644,0.352,0.2241,0.6154,0.1732
Kings/Brooklyn NY,8755,0.099,0.6906,0.1741,0.5675,0.2665,0.6914,0.1939
New York/Manhattan NY,8755,0.0969,0.6885,0.1504,0.4764,0.2286,0.6287,0.1995
Queens NY,8755,0.0993,0.7002,0.1793,0.565,0.2722,0.7028,0.1856
Bronx NY,8755,0.0995,0.715,0.1661,0.4638,0.2446,0.6546,0.1855
Harris/Houston TX,8754,0.1001,0.641,0.1474,0.5411,0.2317,0.6432,0.2119
Cook/Chicago IL,8754,0.1001,0.6295,0.153,0.5959,0.2435,0.6481,0.2243
Miami-Dade FL,8755,0.1001,0.6479,0.1599,0.5925,0.2519,0.6737,0.2097
Los Angeles CA,8752,0.0996,0.7203,0.1577,0.4163,0.2287,0.6163,0.1844
King/Seattle WA,8752,0.1001,0.7467,0.1413,0.3014,0.1923,0.5821,0.1771
Orleans/New Orleans LA,8754,0.1,0.683,0.155,0.488,0.2353,0.6501,0.1955
